-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        cudaMemsetAsync         0.01%     229.000us         0.01%     229.000us       3.817us      49.000us         0.10%      49.000us       0.817us           0 b           0 b           0 b           0 b            60  
             volta_fp16_s884gemm_fp16_64x64_ldg8_f2f_nn         0.00%       0.000us         0.00%       0.000us       0.000us      47.000us         0.10%      47.000us      11.750us           0 b           0 b           0 b           0 b             4  
autograd::engine::evaluate_function: BinaryCrossEntr...         0.00%      34.000us         0.02%     401.000us     100.250us       0.000us         0.00%      45.000us      11.250us           0 b           0 b           0 b      -2.00 Kb             4  
                  BinaryCrossEntropyWithLogitsBackward0         0.00%      62.000us         0.02%     367.000us      91.750us       0.000us         0.00%      45.000us      11.250us           0 b           0 b       2.00 Kb           0 b             4  
                                          aten::sigmoid         0.01%     182.000us         0.02%     290.000us      29.000us      41.000us         0.08%      43.000us       4.300us           0 b           0 b       5.00 Kb       5.00 Kb            10  
             volta_fp16_s884gemm_fp16_64x64_ldg8_f2f_nt         0.00%       0.000us         0.00%       0.000us       0.000us      43.000us         0.09%      43.000us      10.750us           0 b           0 b           0 b           0 b             4  
                                              aten::neg         0.01%     211.000us         0.02%     361.000us      20.056us      42.000us         0.09%      42.000us       2.333us           0 b           0 b       9.00 Kb       9.00 Kb            18  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      42.000us         0.09%      42.000us       2.333us           0 b           0 b           0 b           0 b            18  
                                             aten::mean         1.17%      20.506ms         1.17%      20.582ms       3.430ms      42.000us         0.09%      42.000us       7.000us           0 b           0 b       3.00 Kb       3.00 Kb             6  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      42.000us         0.09%      42.000us       7.000us           0 b           0 b           0 b           0 b             6  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      42.000us         0.09%      42.000us       7.000us           0 b           0 b           0 b           0 b             6  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      41.000us         0.08%      41.000us       4.100us           0 b           0 b           0 b           0 b            10  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      40.000us         0.08%      40.000us       2.857us           0 b           0 b           0 b           0 b            14  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      38.000us         0.08%      38.000us       2.714us           0 b           0 b           0 b           0 b            14  
                                             aten::exp_         0.00%      77.000us         0.01%     164.000us      13.667us      37.000us         0.08%      37.000us       3.083us           0 b           0 b           0 b           0 b            12  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      37.000us         0.08%      37.000us       3.083us           0 b           0 b           0 b           0 b            12  
void splitKreduce_kernel<32, 16, int, __half, __half...         0.00%       0.000us         0.00%       0.000us       0.000us      36.000us         0.07%      36.000us       6.000us           0 b           0 b           0 b           0 b             6  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      36.000us         0.07%      36.000us       9.000us           0 b           0 b           0 b           0 b             4  
                                              aten::cat         0.21%       3.676ms         0.59%      10.375ms     518.750us      32.000us         0.07%      32.000us       1.600us      16.48 Mb      16.48 Mb      20.00 Kb      20.00 Kb            20  
